"시도별(1)","장애유형별(1)","시점","장애정도별(1)","항목",데이터
"전국","심장","2019","심한장애","여자",1589
"전국","심장","2019","심하지않은장애","소계",1002
"전국","심장","2019","심하지않은장애","남자",693
"전국","심장","2019","심하지않은장애","여자",309
"전국","심장","2020","총계","소계",5233
"전국","심장","2020","총계","남자",3377
"전국","심장","2020","총계","여자",1856
"전국","심장","2020","심한장애","소계",4148
"전국","심장","2020","심한장애","남자",2632
"전국","심장","2020","심한장애","여자",1516
"전국","심장","2020","심하지않은장애","소계",1085
"전국","심장","2020","심하지않은장애","남자",745
"전국","심장","2020","심하지않은장애","여자",340
"전국","심장","2021","총계","소계",5166
"전국","심장","2021","총계","남자",3340
"전국","심장","2021","총계","여자",1826
"전국","심장","2021","심한장애","소계",4039
"전국","심장","2021","심한장애","남자",2568
"전국","심장","2021","심한장애","여자",1471
"전국","심장","2021","심하지않은장애","소계",1127
"전국","심장","2021","심하지않은장애","남자",772
"전국","심장","2021","심하지않은장애","여자",355
"전국","심장","2022","총계","소계",5078
"전국","심장","2022","총계","남자",3281
"전국","심장","2022","총계","여자",1797
"전국","심장","2022","심한장애","소계",3873
"전국","심장","2022","심한장애","남자",2452
"전국","심장","2022","심한장애","여자",1421
"전국","심장","2022","심하지않은장애","소계",1205
"전국","심장","2022","심하지않은장애","남자",829
"전국","심장","2022","심하지않은장애","여자",376
"전국","호흡기","2019","총계","소계",11522
"전국","호흡기","2019","총계","남자",8542
"전국","호흡기","2019","총계","여자",2980
"전국","호흡기","2019","심한장애","소계",11262
"전국","호흡기","2019","심한장애","남자",8381
"전국","호흡기","2019","심한장애","여자",2881
"전국","호흡기","2019","심하지않은장애","소계",260
"전국","호흡기","2019","심하지않은장애","남자",161
"전국","호흡기","2019","심하지않은장애","여자",99
"전국","호흡기","2020","총계","소계",11544
"전국","호흡기","2020","총계","남자",8527
"전국","호흡기","2020","총계","여자",3017
"전국","호흡기","2020","심한장애","소계",11218
"전국","호흡기","2020","심한장애","남자",8331
"전국","호흡기","2020","심한장애","여자",2887
"전국","호흡기","2020","심하지않은장애","소계",326
"전국","호흡기","2020","심하지않은장애","남자",196
"전국","호흡기","2020","심하지않은장애","여자",130
"전국","호흡기","2021","총계","소계",11541
"전국","호흡기","2021","총계","남자",8503
"전국","호흡기","2021","총계","여자",3038
